Name,Distance from the South Pole (km)
﻿﻿Amundsen,168.59782835827116
﻿﻿Ashbrook,269.87781877493074
﻿﻿Braude,248.045006469543
﻿﻿Cabeus,141.61004648077818
﻿﻿de Gerlache,46.09149264470715
﻿﻿Faustini,85.51184819610134
﻿﻿Haworth,77.324543581581
﻿﻿Hedervari,249.56117399075023
﻿﻿Henson,43.36239110653394
﻿﻿Ibn Bajja,112.19639656935314
﻿﻿Idel son,262.29698116889347
﻿﻿Kocher,167.68812784554683
﻿﻿Kuhn,167.38489434130537
﻿﻿Laveran,248.6514734780259
﻿﻿Malapert,151.61675212074724
﻿﻿Malinkin,84.29891417913579
﻿﻿Marvin,26.38131486901005
﻿﻿Nefed ev,270.7875192876552
﻿﻿Nobile,143.12621400198557
﻿﻿Scott,231.97363074474384
﻿﻿Shackleton,10.006705639969269
﻿﻿Shoemaker,56.40143178891804
﻿﻿Slater,58.220832814367
﻿﻿Spudis,14.85844170783319
﻿﻿Stose,109.77052853542124
﻿﻿Svedberg,252.29027552892347
﻿﻿Sverdrup,50.94322871257163
﻿﻿Tooley,59.4337668313328
﻿﻿von Baeyer,248.65147347802576
﻿﻿Wapowski,209.8375849351145
﻿﻿Wiechert,181.03040203217253
